DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter1841,Tramadol,DDInter393,Clarithromycin,Moderate
DDInter1841,Tramadol,DDInter1055,Levofloxacin,Major
DDInter1841,Tramadol,DDInter1202,Metronidazole,Minor
DDInter1841,Tramadol,DDInter1244,Morphine,Major
DDInter1010,Ketorolac,DDInter826,Glipizide,Moderate
DDInter1010,Ketorolac,DDInter831,Glyburide,Moderate
DDInter1010,Ketorolac,DDInter1055,Levofloxacin,Moderate
DDInter1164,Metformin,DDInter1010,Ketorolac,Moderate
DDInter1010,Ketorolac,DDInter1515,Prednisone,Moderate
DDInter900,Ibuprofen,DDInter826,Glipizide,Moderate
DDInter831,Glyburide,DDInter900,Ibuprofen,Moderate
DDInter900,Ibuprofen,DDInter1055,Levofloxacin,Moderate
DDInter1164,Metformin,DDInter900,Ibuprofen,Moderate
DDInter1515,Prednisone,DDInter900,Ibuprofen,Moderate
DDInter1091,Loratadine,DDInter393,Clarithromycin,Minor
DDInter883,Hydrochlorothiazide,DDInter826,Glipizide,Moderate
DDInter883,Hydrochlorothiazide,DDInter831,Glyburide,Moderate
DDInter1164,Metformin,DDInter883,Hydrochlorothiazide,Moderate
DDInter1244,Morphine,DDInter883,Hydrochlorothiazide,Moderate
DDInter1340,Omeprazole,DDInter883,Hydrochlorothiazide,Moderate
DDInter1388,Pantoprazole,DDInter883,Hydrochlorothiazide,Moderate
DDInter1515,Prednisone,DDInter883,Hydrochlorothiazide,Moderate
DDInter1244,Morphine,DDInter343,Cetirizine,Moderate
DDInter1164,Metformin,DDInter336,Celecoxib,Moderate
DDInter1164,Metformin,DDInter339,Cephalexin,Moderate
DDInter1164,Metformin,DDInter384,Ciprofloxacin,Moderate
DDInter1164,Metformin,DDInter393,Clarithromycin,Moderate
DDInter1164,Metformin,DDInter537,Diclofenac,Moderate
DDInter1164,Metformin,DDInter638,Enalapril,Moderate
DDInter1164,Metformin,DDInter790,Furosemide,Moderate
DDInter1164,Metformin,DDInter826,Glipizide,Moderate
DDInter1164,Metformin,DDInter831,Glyburide,Moderate
DDInter1164,Metformin,DDInter1055,Levofloxacin,Moderate
DDInter1164,Metformin,DDInter1064,Levothyroxine,Moderate
DDInter1244,Morphine,DDInter1164,Metformin,Moderate
DDInter1164,Metformin,DDInter1266,Naproxen,Moderate
DDInter1460,Phenytoin,DDInter1164,Metformin,Moderate
DDInter1164,Metformin,DDInter1515,Prednisone,Moderate
DDInter1164,Metformin,DDInter1707,Spironolactone,Moderate
DDInter1164,Metformin,DDInter1874,Trimethoprim,Moderate
DDInter1164,Metformin,DDInter1928,Verapamil,Moderate
DDInter1164,Metformin,DDInter1951,Warfarin,Moderate
DDInter79,Amlodipine,DDInter393,Clarithromycin,Moderate
DDInter1244,Morphine,DDInter79,Amlodipine,Moderate
DDInter79,Amlodipine,DDInter1515,Prednisone,Moderate
DDInter79,Amlodipine,DDInter1675,Simvastatin,Major
DDInter133,Atorvastatin,DDInter393,Clarithromycin,Major
DDInter336,Celecoxib,DDInter826,Glipizide,Moderate
DDInter336,Celecoxib,DDInter831,Glyburide,Moderate
DDInter336,Celecoxib,DDInter1055,Levofloxacin,Moderate
DDInter336,Celecoxib,DDInter1202,Metronidazole,Moderate
DDInter157,Azithromycin,DDInter83,Amoxicillin,Minor
DDInter83,Amoxicillin,DDInter393,Clarithromycin,Minor
DDInter670,Erythromycin,DDInter83,Amoxicillin,Minor
DDInter1951,Warfarin,DDInter83,Amoxicillin,Moderate
DDInter89,Ampicillin,DDInter393,Clarithromycin,Minor
DDInter393,Clarithromycin,DDInter108,Apixaban,Moderate
DDInter1244,Morphine,DDInter293,Carbamazepine,Moderate
DDInter1244,Morphine,DDInter336,Celecoxib,Moderate
DDInter388,Citalopram,DDInter1244,Morphine,Moderate
DDInter1244,Morphine,DDInter413,Clopidogrel,Moderate
DDInter1244,Morphine,DDInter638,Enalapril,Moderate
DDInter1244,Morphine,DDInter672,Escitalopram,Moderate
DDInter1244,Morphine,DDInter758,Fluoxetine,Moderate
DDInter1244,Morphine,DDInter790,Furosemide,Moderate
DDInter1244,Morphine,DDInter989,Isosorbide dinitrate,Moderate
DDInter1244,Morphine,DDInter1079,Lisinopril,Moderate
DDInter1244,Morphine,DDInter1095,Losartan,Moderate
DDInter1200,Metoprolol,DDInter1244,Morphine,Moderate
DDInter1244,Morphine,DDInter1304,Nitroglycerin,Moderate
DDInter1244,Morphine,DDInter1366,Oxycodone,Major
DDInter1460,Phenytoin,DDInter1244,Morphine,Moderate
DDInter1244,Morphine,DDInter1539,Propranolol,Moderate
