ingredient_a,ingredient_b,severity,source,source_version,description
acenocoumarol,aspirin,MAJOR,ONChigh,onchigh-mx-2026-07-08,Riesgo aumentado de sangrado por inhibicion plaquetaria concomitante.
acenocoumarol,clopidogrel,MAJOR,ONChigh,onchigh-mx-2026-07-08,Riesgo aumentado de sangrado por inhibicion plaquetaria concomitante.
acenocoumarol,diclofenac,MAJOR,ONChigh,onchigh-mx-2026-07-08,Riesgo aumentado de sangrado por efecto sinergico sobre la hemostasia.
acenocoumarol,ibuprofen,MAJOR,ONChigh,onchigh-mx-2026-07-08,Riesgo aumentado de sangrado por efecto sinergico sobre la hemostasia.
acenocoumarol,ketorolac,MAJOR,ONChigh,onchigh-mx-2026-07-08,Riesgo aumentado de sangrado por efecto sinergico sobre la hemostasia.
acenocoumarol,meloxicam,MAJOR,ONChigh,onchigh-mx-2026-07-08,Riesgo aumentado de sangrado por efecto sinergico sobre la hemostasia.
acenocoumarol,naproxen,MAJOR,ONChigh,onchigh-mx-2026-07-08,Riesgo aumentado de sangrado por efecto sinergico sobre la hemostasia.
acenocoumarol,sulfamethoxazole,MAJOR,ONChigh,onchigh-mx-2026-07-08,Sulfametoxazol/trimetoprima potencia el efecto anticoagulante: riesgo de sangrado.
acenocoumarol,trimethoprim,MAJOR,ONChigh,onchigh-mx-2026-07-08,Sulfametoxazol/trimetoprima potencia el efecto anticoagulante: riesgo de sangrado.
allopurinol,azathioprine,CONTRAINDICATED,ONChigh,onchigh-mx-2026-07-08,Toxicidad grave por tiopurinas (mielosupresion): la inhibicion de xantina oxidasa bloquea su metabolismo. Evitar o reduccion extrema supervisada.
allopurinol,mercaptopurine,CONTRAINDICATED,ONChigh,onchigh-mx-2026-07-08,Toxicidad grave por tiopurinas (mielosupresion): la inhibicion de xantina oxidasa bloquea su metabolismo. Evitar o reduccion extrema supervisada.
alprazolam,codeine,MAJOR,ONChigh,onchigh-mx-2026-07-08,"Depresion respiratoria, sedacion profunda y riesgo de muerte por depresion del SNC sumada."
alprazolam,hydrocodone,MAJOR,ONChigh,onchigh-mx-2026-07-08,"Depresion respiratoria, sedacion profunda y riesgo de muerte por depresion del SNC sumada."
alprazolam,morphine,MAJOR,ONChigh,onchigh-mx-2026-07-08,"Depresion respiratoria, sedacion profunda y riesgo de muerte por depresion del SNC sumada."
