name,ingredient,display_name,drug_class
warfarin,warfarin,Warfarina,Anticoagulante
warfarina,warfarin,Warfarina,Anticoagulante
acenocoumarol,acenocoumarol,Acenocumarol,Anticoagulante
ibuprofen,ibuprofen,Ibuprofeno,AINE
ibuprofeno,ibuprofen,Ibuprofeno,AINE
naproxen,naproxen,Naproxeno,AINE
naproxeno,naproxen,Naproxeno,AINE
diclofenac,diclofenac,Diclofenaco,AINE
diclofenaco,diclofenac,Diclofenaco,AINE
ketorolac,ketorolac,Ketorolaco,AINE
meloxicam,meloxicam,Meloxicam,AINE
aspirin,aspirin,Aspirina,Antiplaquetario
aspirina,aspirin,Aspirina,Antiplaquetario
clopidogrel,clopidogrel,Clopidogrel,Antiplaquetario
enalapril,enalapril,Enalapril,IECA
lisinopril,lisinopril,Lisinopril,IECA
captopril,captopril,Captopril,IECA
ramipril,ramipril,Ramipril,IECA
losartan,losartan,Losartan,ARA2
valsartan,valsartan,Valsartan,ARA2
telmisartan,telmisartan,Telmisartan,ARA2
spironolactone,spironolactone,Espironolactona,Ahorrador de potasio
espironolactona,spironolactone,Espironolactona,Ahorrador de potasio
amiloride,amiloride,Amilorida,Ahorrador de potasio
eplerenone,eplerenone,Eplerenona,Ahorrador de potasio
potassium chloride,potassium chloride,Cloruro de potasio,Suplemento de potasio
cloruro de potasio,potassium chloride,Cloruro de potasio,Suplemento de potasio
nitroglycerin,nitroglycerin,Nitroglicerina,Nitrato
isosorbide dinitrate,isosorbide dinitrate,Dinitrato de isosorbida,Nitrato
isosorbide mononitrate,isosorbide mononitrate,Mononitrato de isosorbida,Nitrato
sildenafil,sildenafil,Sildenafil,Inhibidor PDE5
tadalafil,tadalafil,Tadalafil,Inhibidor PDE5
vardenafil,vardenafil,Vardenafil,Inhibidor PDE5
phenelzine,phenelzine,Fenelzina,IMAO
tranylcypromine,tranylcypromine,Tranilcipromina,IMAO
linezolid,linezolid,Linezolid,IMAO
selegiline,selegiline,Selegilina,IMAO
fluoxetine,fluoxetine,Fluoxetina,ISRS
fluoxetina,fluoxetine,Fluoxetina,ISRS
sertraline,sertraline,Sertralina,ISRS
sertralina,sertraline,Sertralina,ISRS
paroxetine,paroxetine,Paroxetina,ISRS
citalopram,citalopram,Citalopram,ISRS
escitalopram,escitalopram,Escitalopram,ISRS
venlafaxine,venlafaxine,Venlafaxina,IRSN
duloxetine,duloxetine,Duloxetina,IRSN
tramadol,tramadol,Tramadol,Opioide serotoninergico
fentanyl,fentanyl,Fentanilo,Opioide
meperidine,meperidine,Meperidina,Opioide serotoninergico
diazepam,diazepam,Diazepam,Benzodiacepina
alprazolam,alprazolam,Alprazolam,Benzodiacepina
clonazepam,clonazepam,Clonazepam,Benzodiacepina
lorazepam,lorazepam,Lorazepam,Benzodiacepina
morphine,morphine,Morfina,Opioide
morfina,morphine,Morfina,Opioide
hydrocodone,hydrocodone,Hidrocodona,Opioide
oxycodone,oxycodone,Oxicodona,Opioide
codeine,codeine,Codeina,Opioide
simvastatin,simvastatin,Simvastatina,Estatina CYP3A4 alto riesgo
simvastatina,simvastatin,Simvastatina,Estatina CYP3A4 alto riesgo
lovastatin,lovastatin,Lovastatina,Estatina CYP3A4 alto riesgo
atorvastatin,atorvastatin,Atorvastatina,Estatina CYP3A4 riesgo moderado
clarithromycin,clarithromycin,Claritromicina,Inhibidor fuerte CYP3A4
claritromicina,clarithromycin,Claritromicina,Inhibidor fuerte CYP3A4
erythromycin,erythromycin,Eritromicina,Inhibidor fuerte CYP3A4
ketoconazole,ketoconazole,Ketoconazol,Inhibidor fuerte CYP3A4
itraconazole,itraconazole,Itraconazol,Inhibidor fuerte CYP3A4
methotrexate,methotrexate,Metotrexato,Metotrexato
metotrexato,methotrexate,Metotrexato,Metotrexato
trimethoprim,trimethoprim,Trimetoprima,Antibiotico antifolato
sulfamethoxazole,sulfamethoxazole,Sulfametoxazol,Antibiotico antifolato
allopurinol,allopurinol,Alopurinol,Inhibidor xantina oxidasa
alopurinol,allopurinol,Alopurinol,Inhibidor xantina oxidasa
febuxostat,febuxostat,Febuxostat,Inhibidor xantina oxidasa
azathioprine,azathioprine,Azatioprina,Tiopurina
azatioprina,azathioprine,Azatioprina,Tiopurina
mercaptopurine,mercaptopurine,Mercaptopurina,Tiopurina
mercaptopurina,mercaptopurine,Mercaptopurina,Tiopurina
6-mercaptopurina,mercaptopurine,Mercaptopurina,Tiopurina
hydrochlorothiazide,hydrochlorothiazide,Hidroclorotiazida,Diuretico
hidroclorotiazida,hydrochlorothiazide,Hidroclorotiazida,Diuretico
furosemide,furosemide,Furosemida,Diuretico
furosemida,furosemide,Furosemida,Diuretico
bumetanide,bumetanide,Bumetanida,Diuretico
bumetanida,bumetanide,Bumetanida,Diuretico
torsemide,torsemide,Torasemida,Diuretico
torasemida,torsemide,Torasemida,Diuretico
chlorthalidone,chlorthalidone,Clortalidona,Diuretico
clortalidona,chlorthalidone,Clortalidona,Diuretico
ergotamine,ergotamine,Ergotamina,Ergotaminico
ergotamina,ergotamine,Ergotamina,Ergotaminico
dihydroergotamine,dihydroergotamine,Dihidroergotamina,Ergotaminico
dihidroergotamina,dihydroergotamine,Dihidroergotamina,Ergotaminico
tizanidine,tizanidine,Tizanidina,Relajante muscular
tizanidina,tizanidine,Tizanidina,Relajante muscular
ciprofloxacin,ciprofloxacin,Ciprofloxacino,Fluoroquinolona
ciprofloxacino,ciprofloxacin,Ciprofloxacino,Fluoroquinolona
ciprofloxacina,ciprofloxacin,Ciprofloxacino,Fluoroquinolona
fluvoxamine,fluvoxamine,Fluvoxamina,ISRS
fluvoxamina,fluvoxamine,Fluvoxamina,ISRS
sumatriptan,sumatriptan,Sumatriptan,Triptan
rizatriptan,rizatriptan,Rizatriptan,Triptan
zolmitriptan,zolmitriptan,Zolmitriptan,Triptan
naratriptan,naratriptan,Naratriptan,Triptan
eletriptan,eletriptan,Eletriptan,Triptan
amitriptyline,amitriptyline,Amitriptilina,Antidepresivo triciclico
amitriptilina,amitriptyline,Amitriptilina,Antidepresivo triciclico
imipramine,imipramine,Imipramina,Antidepresivo triciclico
imipramina,imipramine,Imipramina,Antidepresivo triciclico
clomipramine,clomipramine,Clomipramina,Antidepresivo triciclico
clomipramina,clomipramine,Clomipramina,Antidepresivo triciclico
nortriptyline,nortriptyline,Nortriptilina,Antidepresivo triciclico
nortriptilina,nortriptyline,Nortriptilina,Antidepresivo triciclico
acetaminophen,acetaminophen,Paracetamol,Analgesico
paracetamol,acetaminophen,Paracetamol,Analgesico
acetaminofen,acetaminophen,Paracetamol,Analgesico
omeprazole,omeprazole,Omeprazol,IBP
omeprazol,omeprazole,Omeprazol,IBP
pantoprazole,pantoprazole,Pantoprazol,IBP
pantoprazol,pantoprazole,Pantoprazol,IBP
metformin,metformin,Metformina,Biguanida
metformina,metformin,Metformina,Biguanida
amoxicillin,amoxicillin,Amoxicilina,Penicilina
amoxicilina,amoxicillin,Amoxicilina,Penicilina
ampicilina,ampicillin,Ampicilina,Penicilina
azithromycin,azithromycin,Azitromicina,Macrolido
azitromicina,azithromycin,Azitromicina,Macrolido
loratadine,loratadine,Loratadina,Antihistaminico
loratadina,loratadine,Loratadina,Antihistaminico
coumadin,warfarin,Warfarina,Anticoagulante
sintrom,acenocoumarol,Acenocumarol,Anticoagulante
advil,ibuprofen,Ibuprofeno,AINE
motrin,ibuprofen,Ibuprofeno,AINE
actron,ibuprofen,Ibuprofeno,AINE
flanax,naproxen,Naproxeno,AINE
naxen,naproxen,Naproxeno,AINE
dolac,ketorolac,Ketorolaco,AINE
supradol,ketorolac,Ketorolaco,AINE
voltaren,diclofenac,Diclofenaco,AINE
mobic,meloxicam,Meloxicam,AINE
aspirina protect,aspirin,Aspirina,Antiplaquetario
plavix,clopidogrel,Clopidogrel,Antiplaquetario
renitec,enalapril,Enalapril,IECA
cozaar,losartan,Losartan,ARA2
micardis,telmisartan,Telmisartan,ARA2
diovan,valsartan,Valsartan,ARA2
lasix,furosemide,Furosemida,Diuretico
aldactone,spironolactone,Espironolactona,Ahorrador de potasio
viagra,sildenafil,Sildenafil,Inhibidor PDE5
cialis,tadalafil,Tadalafil,Inhibidor PDE5
levitra,vardenafil,Vardenafil,Inhibidor PDE5
prozac,fluoxetine,Fluoxetina,ISRS
altruline,sertraline,Sertralina,ISRS
paxil,paroxetine,Paroxetina,ISRS
efexor,venlafaxine,Venlafaxina,IRSN
cymbalta,duloxetine,Duloxetina,IRSN
tradol,tramadol,Tramadol,Opioide serotoninergico
tramal,tramadol,Tramadol,Opioide serotoninergico
tafil,alprazolam,Alprazolam,Benzodiacepina
neupax,alprazolam,Alprazolam,Benzodiacepina
rivotril,clonazepam,Clonazepam,Benzodiacepina
valium,diazepam,Diazepam,Benzodiacepina
ativan,lorazepam,Lorazepam,Benzodiacepina
zocor,simvastatin,Simvastatina,Estatina CYP3A4 alto riesgo
lipitor,atorvastatin,Atorvastatina,Estatina CYP3A4 riesgo moderado
klaricid,clarithromycin,Claritromicina,Inhibidor fuerte CYP3A4
bactrim,sulfamethoxazole,Sulfametoxazol,Antibiotico antifolato
septrin,sulfamethoxazole,Sulfametoxazol,Antibiotico antifolato
zyloprim,allopurinol,Alopurinol,Inhibidor xantina oxidasa
tempra,acetaminophen,Paracetamol,Analgesico
tylenol,acetaminophen,Paracetamol,Analgesico
losec,omeprazole,Omeprazol,IBP
glucophage,metformin,Metformina,Biguanida
amoxil,amoxicillin,Amoxicilina,Penicilina
cafergot,ergotamine,Ergotamina,Ergotaminico
sirdalud,tizanidine,Tizanidina,Relajante muscular
ciproxina,ciprofloxacin,Ciprofloxacino,Fluoroquinolona
luvox,fluvoxamine,Fluvoxamina,ISRS
imigran,sumatriptan,Sumatriptan,Triptan
maxalt,rizatriptan,Rizatriptan,Triptan
anapsique,amitriptyline,Amitriptilina,Antidepresivo triciclico
anafranil,clomipramine,Clomipramina,Antidepresivo triciclico
tofranil,imipramine,Imipramina,Antidepresivo triciclico
lexapro,escitalopram,Escitalopram,ISRS
jumex,selegiline,Selegilina,IMAO
zyvoxam,linezolid,Linezolid,IMAO
imuran,azathioprine,Azatioprina,Tiopurina
purinethol,mercaptopurine,Mercaptopurina,Tiopurina
ledertrexate,methotrexate,Metotrexato,Metotrexato
adenuric,febuxostat,Febuxostat,Inhibidor xantina oxidasa
turazive,febuxostat,Febuxostat,Inhibidor xantina oxidasa
nizoral,ketoconazole,Ketoconazol,Inhibidor fuerte CYP3A4
sporanox,itraconazole,Itraconazol,Inhibidor fuerte CYP3A4
ilosone,erythromycin,Eritromicina,Inhibidor fuerte CYP3A4
zestril,lisinopril,Lisinopril,IECA
tritace,ramipril,Ramipril,IECA
isorbid,isosorbide dinitrate,Dinitrato de isosorbida,Nitrato
durogesic,fentanyl,Fentanilo,Opioide
demerol,meperidine,Meperidina,Opioide serotoninergico
relpax,eletriptan,Eletriptan,Triptan
zomig,zolmitriptan,Zolmitriptan,Triptan
